Date,Open,High,Low,Close,Volume
14-11-19,1438.8100000,1448.5400000,1425.4400000,1436.9800000,1150947169
15-11-19,1440.2900000,1450.8400000,1435.5400000,1449.4200000,888538007
18-11-19,1458.5000000,1461.2000000,1436.7400000,1443.0200000,902514098
19-11-19,1445.1600000,1456.0100000,1441.9900000,1451.6400000,825403991
20-11-19,1449.0800000,1452.4000000,1433.0000000,1448.4000000,1265546276
21-11-19,1449.8000000,1456.6200000,1445.0100000,1454.7400000,1336932133
22-11-19,1453.4200000,1468.4000000,1451.5000000,1455.4200000,875990462
25-11-19,1456.7200000,1462.5100000,1450.9200000,1454.6300000,613843325
26-11-19,1455.8400000,1458.8800000,1437.8900000,1440.9500000,1362908910
27-11-19,1444.4100000,1450.3400000,1437.9200000,1441.0800000,653159505
28-11-19,1441.2500000,1442.4700000,1431.3500000,1439.1800000,514162978
29-11-19,1438.4700000,1441.0200000,1428.0300000,1438.4500000,686963432
02-12-19,1439.1600000,1448.9800000,1432.2400000,1432.8100000,876782935
03-12-19,1432.1300000,1435.8100000,1414.0600000,1414.0600000,872563875
04-12-19,1417.9100000,1433.5600000,1410.6100000,1430.0300000,727826468
05-12-19,1430.4400000,1434.1600000,1421.3500000,1430.3900000,703626283
06-12-19,1433.8900000,1448.6500000,1431.4700000,1448.3400000,684684575
09-12-19,1448.8200000,1458.9000000,1445.5500000,1456.7900000,653171432
10-12-19,1458.0800000,1460.9200000,1446.1400000,1454.2300000,692351842
11-12-19,1454.7500000,1466.7000000,1453.5800000,1463.1500000,768532985
12-12-19,1476.9000000,1502.8100000,1476.3300000,1496.9600000,1216677069
13-12-19,1499.8000000,1515.1400000,1496.9400000,1501.4200000,928759130
16-12-19,1504.0400000,1520.7000000,1502.7900000,1517.1600000,772327732
17-12-19,1519.7900000,1521.7700000,1512.8000000,1520.6000000,840811999
18-12-19,1520.1800000,1524.6200000,1511.6600000,1522.5100000,965173391
19-12-19,1514.4800000,1526.4800000,1511.0600000,1519.4900000,1076239442
20-12-19,1522.1000000,1530.8600000,1519.0200000,1523.7700000,1023234842
23-12-19,1522.8500000,1535.0000000,1522.0400000,1535.0000000,734844508
24-12-19,1535.3500000,1541.8700000,1534.9900000,1540.4600000,534400747
25-12-19,1541.7800000,1549.8800000,1541.3100000,1544.1200000,298671666
26-12-19,1541.0500000,1546.5000000,1533.7600000,1534.8500000,370946384
27-12-19,1535.1300000,1552.7300000,1535.1300000,1549.4000000,598287496
30-12-19,1549.5900000,1558.2400000,1545.3000000,1548.9200000,601191945
